name	rpin	rpout	rpin-rpout	realin	realout	realboseqin	realboseqout	realboseqother	posin	posout	posboseqother
alignments__2_0_1_3_set	0.00105	0.00115	-0.00010	2016	2208	83	327	73	79536	1846108	1954
alignments__2_0_2_4_set	0.00112	0.00247	-0.00135	2154	4739	89	543	79	79536	1846108	1954
alignments__2_0_3_5_set	0.00118	0.00420	-0.00303	2260	8046	95	770	85	79536	1846108	1954
alignments__2_1_0_3_set	0.00107	0.00159	-0.00052	2062	3051	85	385	75	79536	1846108	1954
alignments__2_1_1_4_set	0.00159	0.00299	-0.00141	3046	5737	117	668	93	79536	1846108	1954
alignments__2_1_2_5_set	0.00184	0.00739	-0.00557	3502	14106	137	1420	105	79536	1846108	1954
alignments__2_1_3_6_set	0.00205	0.01328	-0.01126	3892	25190	156	2198	124	79536	1846108	1954
alignments__2_2_0_4_set	0.00120	0.00404	-0.00285	2296	7741	91	774	81	79536	1846108	1954
alignments__2_2_1_5_set	0.00191	0.00910	-0.00720	3644	17327	141	1667	109	79536	1846108	1954
alignments__2_2_2_6_set	0.00276	0.01513	-0.01242	5220	28625	188	2500	164	79536	1846108	1954
alignments__2_2_3_7_set	0.00340	0.02796	-0.02466	6348	52203	228	4044	206	79536	1846108	1954
alignments__2_3_0_5_set	0.00134	0.00755	-0.00622	2554	14410	103	1239	93	79536	1846108	1954
alignments__2_3_1_6_set	0.00225	0.01729	-0.01509	4244	32660	171	2839	139	79536	1846108	1954
alignments__2_3_2_7_set	0.00358	0.03238	-0.02893	6648	60188	238	4654	216	79536	1846108	1954
alignments__2_3_3_8_set	0.00520	0.04854	-0.04361	9496	88706	312	6668	300	79536	1846108	1954
alignments__3_0_0_3_set	0.00143	0.00105	0.00038	2744	2009	110	339	86	79536	1846108	1954
alignments__3_0_1_4_set	0.00173	0.00455	-0.00283	3306	8701	141	960	105	79536	1846108	1954
alignments__3_0_2_5_set	0.00194	0.00931	-0.00739	3694	17725	157	1705	121	79536	1846108	1954
alignments__3_0_3_6_set	0.00213	0.01443	-0.01234	4036	27342	175	2435	139	79536	1846108	1954
alignments__3_1_0_4_set	0.00184	0.00673	-0.00490	3518	12851	152	1268	112	79536	1846108	1954
alignments__3_1_1_5_set	0.00282	0.01143	-0.00865	5350	21707	218	1975	186	79536	1846108	1954
alignments__3_1_2_6_set	0.00353	0.02449	-0.02106	6604	45869	259	3828	225	79536	1846108	1954
alignments__3_1_3_7_set	0.00413	0.03988	-0.03593	7612	73556	303	5757	269	79536	1846108	1954
alignments__3_2_0_5_set	0.00225	0.01645	-0.01424	4254	31089	179	2732	139	79536	1846108	1954
alignments__3_2_1_6_set	0.00383	0.03217	-0.02848	7110	59797	273	4924	243	79536	1846108	1954
alignments__3_2_2_7_set	0.00581	0.04816	-0.04264	10622	87989	363	7136	329	79536	1846108	1954
alignments__3_2_3_8_set	0.00747	0.07838	-0.07150	13246	138999	456	10605	417	79536	1846108	1954
alignments__3_3_0_6_set	0.00273	0.02836	-0.02572	5096	52968	219	4290	178	79536	1846108	1954
alignments__3_3_1_7_set	0.00482	0.05671	-0.05217	8742	102872	340	7916	309	79536	1846108	1954
alignments__3_3_2_8_set	0.00808	0.09654	-0.08922	14084	168293	497	12533	445	79536	1846108	1954
alignments__3_3_3_9_set	0.01162	0.13326	-0.12311	19550	224141	658	16332	619	79536	1846108	1954
alignments__4_0_0_4_set	0.00210	0.00358	-0.00149	4024	6855	150	772	154	79536	1846108	1954
alignments__5_0_0_5_set	0.00310	0.01011	-0.00705	5892	19219	182	1676	192	79536	1846108	1954
alignments__6_0_0_6_set	0.00466	0.02316	-0.01863	8736	43397	248	3469	278	79536	1846108	1954
alignments__7_0_0_7_set	0.00663	0.04532	-0.03902	12144	82965	332	5887	338	79536	1846108	1954
