id	sensitivity	specificity
142	-0.7524242684287308	-0.5399940110267566
143	-0.9132412254355101	-0.24080956826548766
144	-0.5248433879687634	-0.8225502457240492
145	-0.48820046339998285	-0.8576650050201687
146	-0.3702050973998112	-0.9422592520829297
147	-0.3724362825023599	-0.9392383435204594
148	-0.9167596327126062	-0.24000810272850576
149	-0.5491289796618897	-0.8061862570678692
150	-0.32523813610229124	-0.9605960789839884
151	-0.14159443920020595	-0.9953761603635659
152	-0.10169055178923882	-0.9978245935424777
153	-0.7195571955719557	-0.5973208152049462
154	-0.3285849137561143	-0.9597858061334131
155	-0.9254269286878916	-0.22825914639516653
156	-0.9549472238908435	-0.16647584153881384
157	-0.40341542950313225	-0.9261154462665798
158	-0.9009697073714923	-0.26592802663331633
159	-0.29992276666952716	-0.9705131140899402
160	-0.8342057839183042	-0.39776470381004386
161	-0.2758946194113104	-0.9801042785929436
162	-0.12305843988672445	-0.9967324866569199
163	-0.6427529391572986	-0.7015994081485265
164	-0.5674075345404617	-0.786431452678304
165	-0.7791126748476787	-0.4939229536206866
166	-0.9943362224319917	-0.030957707280125417
167	-0.7709602677422123	-0.513395923975269
168	-0.7924139706513345	-0.472239347554209
169	-0.9954518149832661	-0.023947085659932008
170	-0.6531365313653137	-0.6809638723996406
171	-0.9782888526559684	-0.0765531697521622
172	-0.8747961898223633	-0.3244262035194025
173	-0.7246202694585085	-0.5903718447799052
174	-0.2357332875654338	-0.987114900213137
175	-0.8377241911954003	-0.3935195786581177
176	-0.46005320518321463	-0.8810220006693559
177	-0.5665493864240968	-0.788210530024132
178	-0.1174804771303527	-0.997287347413292
179	-0.8757401527503648	-0.3194764932800197
180	-0.992276666952716	-0.0371492487361505
181	-0.35209817214451217	-0.9532155501928802
182	-0.9100660774049601	-0.2568564936323123
183	-0.8832060413627392	-0.30562258899790384
184	-0.5565090534626277	-0.794358034912191
185	-0.024800480562945166	-0.9997622025329834
186	-0.8195314511284648	-0.4258071902908175
187	-0.9993992963185446	-0.002554120942030262
188	-0.4216939843817043	-0.9092670553627733
189	-0.877713893418004	-0.3081767099399341
190	-0.876855745301639	-0.31254513748216517
191	-0.9082639663605938	-0.2610487749026792
192	-0.6063674590234275	-0.7430378186045692
193	-0.4321633914013559	-0.9034189991368833
194	-0.8312022655110272	-0.4018865265716651
195	-0.869818930747447	-0.33214141022705257
196	-0.86999056037072	-0.3279755508974653
197	-0.6055093109070626	-0.7437424036920258
198	-0.7416974169741697	-0.5653062302936358
